Tool,Type,Severity,File,Line,Description
Dependency-Check,CVE-2019-17531,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.10. When D
Dependency-Check,CVE-2019-20330,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.2 lacks certain net.sf.ehcache blocking.
Dependency-Check,CVE-2020-8840,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,"FasterXML jackson-databind 2.0.0 through 2.9.10.2 lacks certain xbean-reflect/JNDI blocking, as demo"
Dependency-Check,CVE-2020-9547,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.4 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-9548,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.4 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-10673,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.4 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2018-5968,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind through 2.8.11 and 2.9.x through 2.9.3 allows unauthenticated remote code
Dependency-Check,CVE-2020-10650,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,A deserialization flaw was discovered in jackson-databind through 2.9.10.4. It could allow an unauth
Dependency-Check,CVE-2020-24616,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.6 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-24750,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.6 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-35490,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-35491,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-36179,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-36180,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-36181,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-36182,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-36183,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-36184,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-36185,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-36186,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-36187,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-36188,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2020-36189,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadg
Dependency-Check,CVE-2021-20190,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,A flaw was found in jackson-databind before 2.9.10.7. FasterXML mishandles the interaction between s
Dependency-Check,CVE-2018-12022,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,"An issue was discovered in FasterXML jackson-databind prior to 2.7.9.4, 2.8.11.2, and 2.9.6. When De"
Dependency-Check,CVE-2019-12086,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.x before 2.9.9. When Defau
Dependency-Check,CVE-2019-14439,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.x before 2.9.9.2. This occ
Dependency-Check,CVE-2020-36518,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,jackson-databind before 2.13.0 allows a Java StackOverflow exception and denial of service via a lar
Dependency-Check,CVE-2022-42003,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,"In FasterXML jackson-databind before versions 2.13.4.1 and 2.12.17.1, resource exhaustion can occur "
Dependency-Check,CVE-2022-42004,HIGH,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,"In FasterXML jackson-databind before 2.13.4, resource exhaustion can occur because of a lack of a ch"
Dependency-Check,CVE-2018-1000873,MEDIUM,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in
Dependency-Check,CVE-2019-12384,MEDIUM,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.9.1 might allow attackers to have a variety of impacts by 
Dependency-Check,CVE-2019-12814,MEDIUM,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.x through 2.9.9. When Defa
Dependency-Check,CVE-2023-35116,MEDIUM,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,jackson-databind through 2.15.2 allows attackers to cause a denial of service or other unspecified i
