tool,file,id,severity,message,line
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-35490,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.commons.dbcp2.datasources.PerUserPoolDataSource.",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-35491,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.commons.dbcp2.datasources.SharedPoolDataSource.",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-36179,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to oadd.org.apache.commons.dbcp.cpdsadapter.DriverAdapterCPDS.",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-36180,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.commons.dbcp2.cpdsadapter.DriverAdapterCPDS.",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-36181,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp.cpdsadapter.DriverAdapterCPDS.",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-36182,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp2.cpdsadapter.DriverAdapterCPDS.",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-36183,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.docx4j.org.apache.xalan.lib.sql.JNDIConnectionPool.",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-36184,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp2.datasources.PerUserPoolDataSource.",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-36185,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp2.datasources.SharedPoolDataSource.",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-36186,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp.datasources.PerUserPoolDataSource.",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-36187,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp.datasources.SharedPoolDataSource.",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-36188,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to com.newrelic.agent.deps.ch.qos.logback.core.db.JNDIConnectionSource.",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-36189,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to com.newrelic.agent.deps.ch.qos.logback.core.db.DriverManagerConnectionSou",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2021-20190,HIGH,A flaw was found in jackson-databind before 2.9.10.7. FasterXML mishandles the interaction between serialization gadgets and typing. The highest threat from this vulnerability is to data confidentiali,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2018-12022,HIGH,"An issue was discovered in FasterXML jackson-databind prior to 2.7.9.4, 2.8.11.2, and 2.9.6. When Default Typing is enabled (either globally or for a specific property), the service has the Jodd-db ja",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2019-12086,HIGH,A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.x before 2.9.9. When Default Typing is enabled (either globally or for a specific property) for an externally exposed JSON end,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2019-14439,HIGH,A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.x before 2.9.9.2. This occurs when Default Typing is enabled (either globally or for a specific property) for an externally ex,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-36518,HIGH,jackson-databind before 2.13.0 allows a Java StackOverflow exception and denial of service via a large depth of nested objects.,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2022-42003,HIGH,"In FasterXML jackson-databind before versions 2.13.4.1 and 2.12.17.1, resource exhaustion can occur because of a lack of a check in primitive value deserializers to avoid deep wrapper array nesting, w",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2022-42004,HIGH,"In FasterXML jackson-databind before 2.13.4, resource exhaustion can occur because of a lack of a check in BeanDeserializer._deserializeFromArray to prevent use of deeply nested arrays. An application",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2018-1000873,MEDIUM,Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in Jackson-Modules-Java8 that can result in Causes a denial-of-service (DoS). This attack appear to be,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2019-12384,MEDIUM,FasterXML jackson-databind 2.x before 2.9.9.1 might allow attackers to have a variety of impacts by leveraging failure to block the logback-core class from polymorphic deserialization. Depending on th,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2019-12814,MEDIUM,A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.x through 2.9.9. When Default Typing is enabled (either globally or for a specific property) for an externally exposed JSON en,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2023-35116,MEDIUM,jackson-databind through 2.15.2 allows attackers to cause a denial of service or other unspecified impact via a crafted object that uses cyclic dependencies. NOTE: the vendor's perspective is that thi,
Dependency-Check,PyYAML:5.3.1,CVE-2020-14343,CRITICAL,"A vulnerability was discovered in the PyYAML library in versions before 5.4, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or ",
Dependency-Check,certifi:2018.4.16,CVE-2023-37920,CRITICAL,"Certifi is a curated collection of Root Certificates for validating the trustworthiness of SSL certificates while verifying the identity of TLS hosts. Certifi prior to version 2023.07.22 recognizes ""e",
Dependency-Check,certifi:2018.4.16,CVE-2022-23491,HIGH,Certifi is a curated collection of Root Certificates for validating the trustworthiness of SSL certificates while verifying the identity of TLS hosts. Certifi 2022.12.07 removes root certificates from,
Dependency-Check,paramiko:2.4.1,CVE-2018-1000805,HIGH,"Paramiko version 2.4.1, 2.3.2, 2.2.3, 2.1.5, 2.0.8, 1.18.5, 1.17.6 contains a Incorrect Access Control vulnerability in SSH server that can result in RCE. This attack appear to be exploitable via netw",
Dependency-Check,paramiko:2.4.1,CVE-2022-24302,MEDIUM,"In Paramiko before 2.10.1, a race condition (between creation and chmod) in the write_private_key_file function could allow unauthorized information disclosure.",
Dependency-Check,paramiko:2.4.1,CVE-2023-48795,MEDIUM,"The SSH transport protocol with certain OpenSSH extensions, found in OpenSSH before 9.6 and other products, allows remote attackers to bypass integrity checks such that some packets are omitted (from ",
Dependency-Check,pyjwt:1.7.1,CVE-2022-29217,HIGH,"PyJWT is a Python implementation of RFC 7519. PyJWT supports multiple different JWT signing algorithms. With JWT, an attacker submitting the JWT token can choose the used signing algorithm. The PyJWT ",
